id_solicitud,fecha,codigo_estudiante,programa,semestre,area_destino,tipo_solicitud,texto_solicitud,clasificacion_ia
SOL-02025038,2025-01-08,EST-20202248,Contaduría Pública,10,Registro Académico,Cancelación de materia,Requiero cancelar Física II por problemas de salud.,
SOL-02025002,2025-01-09,EST-20202538,Ingeniería de Sistemas,6,Bienestar Universitario,Solicitud de homologación,Solicito homologación de materias cursadas en la Universidad del Norte.,
SOL-02025030,2025-01-09,EST-20217054,Derecho,1,Bienestar Universitario,Consulta de horarios,¿Cuándo publican los horarios para el período 2025-2?,
SOL-02025022,2025-01-11,EST-20225014,Ingeniería de Sistemas,3,Bienestar Universitario,Solicitud de paz y salvo,Necesito el paz y salvo general para proceso de grado.,
SOL-02025043,2025-01-11,EST-20225815,Ingeniería de Sistemas,8,Dirección Académica,Queja por servicio,El servicio en soporte TI fue deficiente. Quiero dejar constancia.,
SOL-02025032,2025-01-14,EST-20222874,Derecho,3,Bienestar Universitario,Solicitud de beca,Deseo aplicar a la beca de excelencia para el próximo semestre.,
SOL-02025034,2025-01-16,EST-20210259,Ingeniería Industrial,4,Mercadeo y Comunicaciones,Queja por calificación,No estoy de acuerdo con la nota final de Cálculo I. Solicito revisión.,
SOL-02025020,2025-01-21,EST-20215363,Administración de Empresas,4,Dirección Académica,Cancelación de materia,Requiero cancelar Física II por problemas de salud.,
SOL-02025028,2025-01-29,EST-20230795,Administración de Empresas,8,Gestión Financiera,Solicitud de paz y salvo,Necesito el paz y salvo general para proceso de grado.,
SOL-02025029,2025-02-01,EST-20213167,Contaduría Pública,3,Mercadeo y Comunicaciones,Solicitud de beca,Deseo aplicar a la beca socioeconómica para el próximo semestre.,
SOL-02025016,2025-02-03,EST-20228003,Administración de Empresas,5,Dirección Académica,Queja por servicio,El servicio en soporte TI fue deficiente. Quiero dejar constancia.,
SOL-02025047,2025-02-04,EST-20223234,Psicología,6,Mercadeo y Comunicaciones,Queja por servicio,El servicio en soporte TI fue deficiente. Quiero dejar constancia.,
SOL-02025006,2025-02-05,EST-20233916,Contaduría Pública,3,Dirección Académica,Solicitud de paz y salvo,Necesito el paz y salvo general para proceso de traslado.,
SOL-02025005,2025-02-06,EST-20235607,Ingeniería Industrial,9,Dirección Académica,Información de grado,¿Cuáles son los requisitos para grado del período actual?,
